tic_id,period,duration,t0,power,depth,depth_ppm,time_baseline,n_points,verdict
233735354,141.07505375268764,0.245,1709.1287109375,589397.8055250759,0.08527288157923416,85272.88157923415,1600.8891528047766,230621,BAD
237201858,135.16625831291566,0.4,1750.4048071289062,469714.6394129479,0.02825612053678784,28256.12053678784,1600.889493972495,227660,BAD
235901733,59.001950097504874,0.28500000000000003,1717.3810864257812,325081.1448290077,0.06304970836277704,63049.70836277704,1574.870212916173,119120,BAD
224313733,143.49967498374917,0.4,1837.4997045898438,257019.4515453988,0.047009702923051955,47009.702923051955,1710.9399288282375,34607,BAD
149301575,148.004400220011,0.245,1345.403575063975,65198.648415022406,0.009280112109285447,9280.112109285446,2527.3216411930475,240566,GOOD
340458804,143.53867693384672,0.245,1484.277719219799,18538.107884060322,0.015722528913738917,15722.528913738917,2606.021088700766,172378,SUSPICIOUS
219778329,130.06350317515876,0.4,1786.0400512695312,13059.554305806461,0.0015767924828894565,1576.7924828894566,1600.8906496145496,227957,GOOD
158075010,87.20036001800091,0.4,1761.3741943359375,11307.721626711933,0.0034878085249539586,3487.8085249539586,1684.877040366734,9577,GOOD
372068780,94.69523476173809,0.4,1669.276147667085,10525.534723119505,0.004103871068184979,4103.871068184979,2227.1179670890133,19693,GOOD
308994098,131.63658182909145,0.4,1351.1246891261815,7954.452962231241,0.0025566230729961972,2556.623072996197,2364.0668679186238,144001,GOOD
