phase,flux_normalized,flux_err
-2.3301354249076582,1.0008232608402063,2.649582256765959e-05
-2.320135424907658,1.0010074701999083,2.9610982834957946e-05
-2.310135424907658,1.0012997837326587,2.6666160901608604e-05
-2.3001354249076584,1.0011356363418118,2.7748883885393407e-05
-2.290135424907658,1.0009719581233791,2.8074952469929837e-05
-2.2801354249076584,1.0008053113371063,2.747233422786907e-05
-2.270135424907658,1.0003645410781445,2.880846284962312e-05
-2.2601354249076584,1.0002176214460314,2.746587132832291e-05
-2.250135424907658,1.0005890763622003,2.901811921909277e-05
-2.2401354249076584,1.0008368842659354,2.8815699043146926e-05
-2.230135424907658,1.000718815653698,2.7782232552525145e-05
-2.2201354249076584,1.000984574926035,2.8368813816489838e-05
-2.210135424907658,1.0011698764998789,2.7476435805292552e-05
-2.2001354249076583,1.0010317543092062,2.7785186999234534e-05
-2.190135424907658,1.0004935811526108,2.7742434863246154e-05
-2.1801354249076583,1.0000598407067038,2.8059093793848136e-05
-2.170135424907658,0.9997933899116286,2.7767199666875197e-05
-2.1601354249076583,1.0001815625077215,2.9463501981469957e-05
-2.150135424907658,1.0006222618250256,2.7099968561209906e-05
-2.1401354249076583,1.0012250926852881,2.8819774936183172e-05
-2.130135424907658,1.0013532902205793,2.837385571189805e-05
-2.1201354249076583,1.0011739671252382,2.7210751399620685e-05
-2.110135424907658,1.0007090118008946,2.806789318831957e-05
-2.1001354249076583,1.000070411154489,2.7735449083707475e-05
-2.090135424907658,0.9999611794308346,2.9134188194409447e-05
-2.0801354249076582,1.0003481706226276,2.703988482906371e-05
-2.070135424907658,1.000554021328976,2.9485373527308666e-05
-2.060135424907658,1.0010301620718276,2.8073520790573268e-05
-2.050135424907658,1.0013080951481987,2.7752118154852667e-05
-2.040135424907658,1.0011959792143685,2.8078763581598095e-05
-2.030135424907658,1.0010777242477618,2.774903266489499e-05
-2.020135424907658,1.0006771844548754,2.8067911175075093e-05
-2.010135424907658,1.0008468814057274,2.7748317399041338e-05
-2.000135424907658,1.0005756558778716,2.901808335951912e-05
-1.9901354249076582,1.0006385599193062,2.8813461112293114e-05
-1.9801354249076581,1.0007078059574603,2.7783941977853106e-05
-1.9701354249076581,1.0009161489947114,2.8369447633384897e-05
-1.9601354249076581,1.001175689066063,2.7478286659951436e-05
-1.9501354249076581,1.0014531615913023,2.7793760256343986e-05
-1.9401354249076581,1.0011230551096573,2.7752263623932374e-05
-1.930135424907658,1.000701142414442,2.8068392756990853e-05
-1.920135424907658,1.000568612875591,2.806595972139801e-05
-1.910135424907658,1.0002955873550263,2.9467102321402017e-05
-1.900135424907658,1.0002403500765737,2.709569167561366e-05
-1.890135424907658,1.0008423523669185,2.9138522655257247e-05
-1.880135424907658,1.0008889148133804,2.8368629562296883e-05
-1.870135424907658,1.0011980408805004,2.747764300088145e-05
-1.860135424907658,1.001350192798196,2.807553957223111e-05
-1.850135424907658,1.0010256979117695,2.8023316548425604e-05
-1.840135424907658,1.0004511307999893,2.9134519186821894e-05
-1.830135424907658,1.000028244985644,2.7027640342859673e-05
-1.820135424907658,0.9998770590962097,2.9817080788214527e-05
-1.810135424907658,0.9997838942716336,2.7760876451040892e-05
-1.800135424907658,1.0005575988854365,2.7731473566470824e-05
-1.790135424907658,1.0012511747315798,2.9817941041376723e-05
-1.780135424907658,1.0014116144337715,2.7747818554166354e-05
-1.770135424907658,1.0012966382427457,2.8815428247540404e-05
-1.760135424907658,1.0007552281709755,2.847654304251139e-05
-1.750135424907658,1.0003145691571234,3.0187255130337772e-05
-1.740135424907658,1.0003067086656592,3.0312590653953116e-05
-1.730135424907658,1.0001628537960647,3.014947935508311e-05
-1.720135424907658,1.00061186834346,3.05238138473578e-05
-1.710135424907658,1.0010595199163326,2.975821010628627e-05
-1.700135424907658,1.0010661241951315,2.928291395673644e-05
