phase,flux_normalized,flux_err
-2.645166069692952,1.0,6.267081414277613e-05
-2.6450570841252095,1.0006852993862947,0.00018872881026771744
-2.644977497286758,0.9998804254992444,0.00018863008993640944
-2.644496307465383,1.0,6.330777553555053e-05
-2.6444131347265274,0.9983437974889533,0.00010982162832549995
-2.644391045400401,1.000688506551183,0.00018817357529131448
-2.644202958678827,0.9984271505602416,0.00018803018696161636
-2.6438588487161065,1.0,6.33561419067756e-05
-2.6437451574227353,1.000331452665594,0.00010987892358008273
-2.643449690669112,0.9999205207565569,0.00018832414525824488
-2.6432815062262485,1.0,6.307645824741943e-05
-2.6431045429205784,0.99914261989053,0.00010981624219705812
-2.642742258744023,1.000202799974963,0.0001886741610963613
-2.642721989543323,1.0,6.334812771173267e-05
-2.6426626244070848,1.0000644963159608,0.00018865299610367294
-2.642510566324528,1.0001787757826968,0.00011003980451595518
-2.6420762321253726,1.0003233337702921,0.00018814285914334834
-2.6419528042625844,1.0004670748781417,0.00010993344329381845
-2.6418880983720086,0.9980810287906176,0.00018800048949897628
-2.64142088830483,0.9970110754961904,0.00010959623681995578
-2.641134835485085,0.9985392449939732,0.0001881880429625094
-2.6404274338283247,1.001029498991067,0.00018875729187313526
-2.640347751061751,1.0001267275117678,0.0001886575365891788
-2.639761418850862,1.0003828328731832,0.0001881510337187609
-2.6395732380662253,0.9974208115974279,0.00018793624393986655
-2.6388199807670647,0.9985941787749769,0.00018819387486950165
-2.638112608912282,1.0002422631094208,0.0001886873613089898
-2.6380328781820777,1.0000067953604617,0.00018864493383133243
-2.637468660381627,0.9988527240142654,0.00010984879087002573
-2.6374466051105174,1.0003089923530615,0.0001881463315293643
-2.6372583777602694,0.9973788214992624,0.00018793792356232696
-2.6368007161398723,0.9993096749329923,0.0001098221033708413
-2.636505126048182,0.9986750106265506,0.00018820742182920275
-2.6361601374935484,0.9977843162372488,0.00010973935391858675
-2.63579778353006,1.0003651830236988,0.00018869775265608653
-2.6357180053034397,1.0002898161628484,0.00018867587316526014
-2.635566235403304,1.000089236437788,0.0001100334076736824
-2.6351317918360064,1.0002913322607692,0.00018814808219064734
-2.635008507800295,1.0005472277561558,0.0001099348674019371
-2.6349435174534515,0.9975301756384126,0.00018795180940663306
-2.6344766258363324,0.9966877741889572,0.00010957672116011276
-2.6341902708641554,0.9982739866581805,0.0001881666295828722
-2.6334829586140174,1.0003503992512734,0.00018869021383564378
-2.633403131957588,1.0003311844098695,0.0001886745779626639
-2.6328169785623583,1.0001008640170523,0.00018812355846440965
-2.632628657146633,0.9967336685503299,0.00018787547346170937
-2.6318754161457902,0.9977761450264089,0.00018811493230987207
-2.631168133697457,1.0001652444240439,0.00018867419020377613
-2.631088259079295,1.000651996953771,0.00018870981038384874
-2.6305241865033357,0.9993365638893811,0.00010987604934312495
-2.63050216528733,0.9997070084017,0.00018809405765154907
-2.630313796839815,0.9967892994995943,0.0001878861448561344
-2.6298562753225845,0.9983466624051324,0.00010976952974788807
-2.6295605614272524,0.998367460403776,0.00018818074419160044
-2.6292157320670357,0.9981483826855361,0.00010976086700676199
-2.628853308782276,0.9998391072509039,0.00018863619047370663
-2.628773386199622,1.0004358568043494,0.0001886937586033585
-2.6286219049477406,1.0005423854905067,0.00011005669513763267
-2.628187351547158,0.9999895698783776,0.0001881097701982713
-2.6280642108732937,1.000319523463939,0.0001099247289327401
-2.6279989365340315,0.9964800673359857,0.00018785010537075597
-2.62753236430002,0.9958972141771993,0.00010952702687243558
-2.6272457067094046,0.9973320597061551,0.0001880747817042519
-2.626538483865716,0.9996476931651878,0.00018862732726588884
-2.6264585133201215,1.0011676098309077,0.0001887635394623347
-2.625872538272647,1.000491400957343,0.00018815635804398536
-2.6256840762272136,0.9967537146706404,0.00018788158381238422
-2.6249308515248604,0.9976007157650141,0.00018811103861469125
-2.624332644635562,1.0,6.270984597977896e-05
-2.624223658483494,0.9994491256412015,0.0001886079562813149
-2.624143639974787,1.0006413866541028,0.00018871523859248236
-2.6236629788007892,1.0,6.329286846200767e-05
-2.6235797121588664,0.9998321310178415,0.00010990129331618192
-2.623557724997102,1.0005500703914685,0.00018815764572046627
-2.6233692159212576,0.9968781429558823,0.0001878869267493487
-2.623025700263339,1.0,6.341971391130572e-05
-2.6229118340386868,0.9987679237649206,0.00010979138934570834
-2.622615996805978,0.9977969025714889,0.00018811573958626415
-2.622448506785322,1.0,6.31599716540593e-05
-2.6222713266408677,0.9990792645978537,0.0001098119882382243
-2.6219088335683134,0.9993343129569632,0.00018860708305886982
-2.6218890976692433,1.0,6.337407021887776e-05
-2.621828767095977,1.0005882159389115,0.00018870701623892208
-2.621677574027379,1.0001381256470854,0.00011003884314081592
-2.621242911723108,1.00051723921318,0.000188159758088626
-2.6211199144119535,1.0002050970702128,0.00010991698119427078
-2.6210543556140946,0.9964170821887375,0.0001878439515815692
-2.6205881022975284,0.9958889681302899,0.00010957270889358665
-2.6203011420879574,0.9975715964252245,0.00018809977578999965
-2.6195940086517533,0.9990586671356143,0.0001885770442067582
-2.6195138942163037,1.0003713604883886,0.0001886897420200264
-2.6189280979827636,1.0013547305698094,0.00018823476162657066
-2.618739495308656,0.9965799420892494,0.00018785415963186723
-2.6179862873695923,0.997982208301005,0.00018812621448922748
-2.617279183736228,0.9990481158141656,0.00018856844296567392
-2.6171990213371483,0.9998887706787587,0.0001886362603397892
-2.616635237812586,0.9997548762251882,0.00010989806126116908
-2.6166132847087704,1.0011050002714201,0.00018821576478140835
-2.616424635001838,0.9967499189555521,0.00018787632775244353
