toi,tic_id,catalog_period,bls_period,period_err,depth_ppm,depth_err_ppm,duration_hrs,duration_err_hrs,power,snr,n_transits,verdict,tmag,period_diff_pct,period_sigma,depth_diff_pct,depth_sigma,duration_diff_pct,duration_sigma
2388.01,382625239,1.3442724,1.4223824374437442,0.00018821695769577484,385.38075782779123,1463.3179784696922,7.92,0.792,16122170.897861764,4924.2300480137355,1786,GOOD,8.115,5.8105810581058,414.11667096687296,,,,
1149.01,117789567,2.3202418,2.320102571569157,0.0006033232003199718,9820.624509523339,276.88858945031427,7.92,0.792,5512486.161399891,3052.487837744304,797,GOOD,7.9172,-0.006000600060003193,0.2295833883158732,,,,
4494.01,40466976,32.535016,27.127806320152015,0.035141331413141685,13571.76544545854,165209.76183688475,7.92,0.792,2137177.8649993525,2050.9412758642006,61,BAD,7.3664,-16.619661966196617,153.87015789265993,,,,
1356.01,277566483,24.2544697,27.869232250949096,0.11012630506850662,15407.561464530025,181.9239198725073,7.92,0.792,876538.1739882348,1317.441688403755,67,BAD,8.9468,14.903490349034904,32.823788117493294,,,,
1986.01,468997317,7.5043829,6.7224981009981,0.0012008213461345285,5077.127008790879,299.86008504174595,6.864000000000001,0.6864000000000001,656983.6695917436,1120.0329133798216,327,GOOD,8.135,-10.419041904190415,578.6185915779923,,,,
2183.01,1715469662,6.5011256,6.627910227662767,0.002470674795479688,2601.7815642910164,266.004663631971,7.92,0.792,229543.60426413603,663.4279365967849,249,GOOD,8.0348,1.9501950195019595,51.31568014633344,,,,
1976.01,329888006,7.6943096,7.6926166825962605,0.0032319332253227806,6105.489232989542,447.5655913215877,7.92,0.792,173728.18055115288,576.1971517659374,194,GOOD,8.8681,-0.02200220022001572,0.523807919099129,,,,
651.01,72090501,1.0697877,1.0721200704230422,8.559157515752869e-05,2001.389804000438,56.47795818897913,1.536,0.15360000000000001,157337.36021481856,543.9445684071168,2072,GOOD,9.0185,0.21802180218021208,27.24100285526599,,,,
779.01,374095457,0.7839149,0.7971016672947294,0.0002195181238123789,1003.9191393529691,39.33836097738371,7.92,0.792,134120.8317404794,397.03523806523407,2762,GOOD,8.2158,1.6821682168216796,60.07020694048948,,,,
4175.01,952046774,2.1632835,2.535448744194419,0.0004326999699970635,1328.514668464346,119.32736917984742,7.92,0.792,95886.18134282746,409.16026316559777,879,GOOD,8.0935,17.203720372037193,859.630687927954,,,,
862.01,309254930,3.3102159,3.458727036387639,0.0013904297209719196,933.6355122462785,80.73575414535784,7.92,0.792,82121.60794919284,385.8296725589232,667,GOOD,8.9904,4.48644864486448,106.80951027392535,,,,
1114.01,409934330,2.4887726,2.731651318179818,0.0007467064506450072,1318.1663032593556,129.84034087626074,7.92,0.792,73689.13800405491,359.67037328742964,815,GOOD,8.1129,9.75897589758976,325.26609497131045,,,,
2232.01,439444938,11.45959,13.33525406580658,0.004355079707970333,10304.43767607751,221.94294053201207,7.92,0.792,63190.752647369016,353.2661712214477,138,SUSPICIOUS,8.776,16.367636763676362,298.8290572138285,,,,
1457.01,176860064,6.3768174,6.950660813993399,0.0030611784698471034,1716.2411811498905,175.20692277641743,7.92,0.792,53384.86350123748,319.6602298968035,265,GOOD,7.1145,8.99889988998899,187.4546462147923,,,,
1039.01,461867584,4.420125,4.420036588658865,0.0011493474347434862,2936.2401543528417,180.7528307775587,4.176,0.4176000000000001,38446.919842865114,271.8700571626442,498,GOOD,8.5483,-0.002000200020007431,0.07692097341596615,,,,
1009.01,107782586,1.9600277,1.9654771219481948,0.0005880671167116658,997.9335320333035,61.98470483907718,7.92,0.792,36578.191094500224,246.9048564379965,1132,GOOD,8.4331,0.2780278027802804,9.26658293034401,,,,
4391.01,66620917,5.2910096,4.670312104170416,0.0034924155775577503,788.4874168998738,77.51622959120681,7.92,0.792,19682.83307105916,191.67087294699695,315,GOOD,7.301,-11.73117311731174,177.71205853575884,,,,
568.01,37575651,9.5971977,8.007550852241225,0.019964167632762653,1790.1670798337336,5107.690171705728,7.92,0.792,14120.576143242946,163.66541247795416,278,GOOD,8.2866,-16.563656365636557,79.62469563641153,,,,
1531.01,312678993,0.5175204,0.5176756716471647,5.175721572153735e-05,238.95942386716584,10.269375996473636,7.92,0.792,6587.192866551601,69.09095541767138,3614,GOOD,8.3593,0.030003000300020555,2.9412101876671737,,,,
637.01,133334108,2.8579169,2.755536078559856,0.0010861170337033155,431.99758587188313,45.64615899167352,7.92,0.792,6164.479281469956,104.02025700991378,808,GOOD,8.9454,-3.582358235823583,94.25701518977456,,,,
