tic_id,period,duration,t0,power,depth,depth_ppm,time_baseline,n_points,verdict
149601557,2.0,0.28500000000000003,1327.439408590812,66455.57997318213,0.0011626637199018874,1162.6637199018874,2541.53663476403,220785,GOOD
262746281,28.221911095554777,0.32,1536.3564949702488,18067.86524938551,0.015335879837037329,15335.879837037328,1767.6929929060202,27394,BAD
412635642,14.992649632481625,0.32,1599.8039398910855,11720.871985665248,0.010914126317936075,10914.126317936074,1470.9159641349243,29887,SUSPICIOUS
398466662,14.995449772488625,0.4,1584.7411910250867,4147.425981359924,0.00524074152863922,5240.741528639221,1496.228713000923,19556,GOOD
99133239,29.967798389919494,0.4,1573.0886427591938,3941.7736457704837,0.006261904642815844,6261.904642815844,2200.7869589048587,23726,GOOD
270341214,27.815890794539726,0.36,1351.150355620891,3870.5823773647994,0.0011958827055172556,1195.8827055172555,2582.0456911547526,68514,BAD
308994098,21.938396919845992,0.4,1329.3546891261815,2980.5402673377707,0.0006275252701409678,627.5252701409678,2364.0668679186238,144001,GOOD
306919690,13.84599229961498,0.4,1572.8469409789714,2086.933595171676,0.0029846738715848735,2984.6738715848733,2203.356581009356,34441,GOOD
437329044,13.315365768288414,0.4,1603.3448691866608,1720.069662652651,0.0017809292510867552,1780.9292510867551,2202.0994679875557,20347,GOOD
296863792,14.618830941547078,0.32,1552.073595733219,1208.915853428857,0.0011479791250217886,1147.9791250217886,2229.6109397364344,49731,GOOD
39218269,29.903395169758486,0.13,1496.5370040465345,294.7814519498831,0.00352585479686943,3525.85479686943,2541.536586041809,17566,GOOD
