TIC ID,TOI,Previous CTOI,Master,SG1A,SG1B,SG2,SG3,SG4,SG5,ESM,TSM,Predicted Mass (M_Earth),Predicted RV Semi-amplitude (m/s),Time Series Observations,Spectroscopy Observations,Imaging Observations,TESS Disposition,TFOPWG Disposition,TESS Mag,TESS Mag err,Planet Name,Pipeline Signal ID,Source,Detection,RA,Dec,PM RA (mas/yr),PM RA err (mas/yr),PM Dec (mas/yr),PM Dec err (mas/yr),Epoch (BJD),Epoch (BJD) err,Period (days),Period (days) err,Duration (hours),Duration (hours) err,Depth (mmag),Depth (mmag) err,Depth (ppm),Depth (ppm) err,Planet Radius (R_Earth),Planet Radius (R_Earth) err,Planet Insolation (Earth Flux),Planet Equil Temp (K),Planet SNR,Stellar Distance (pc),Stellar Distance (pc) err,Stellar Eff Temp (K),Stellar Eff Temp (K) err,Stellar log(g) (cm/s^2),Stellar log(g) (cm/s^2) err,Stellar Radius (R_Sun),Stellar Radius (R_Sun) err,Stellar Metallicity,Stellar Metallicity err,Stellar Mass (M_Sun),Stellar Mass (M_Sun) err,Sectors,Date TOI Alerted (UTC),Date TOI Updated (UTC),Date Modified,Comments,Rp/R* (derived),needs_a_over_rstar,needs_inclination,needs_eccentricity
348770361,161.01,,3,4,4,3,3,4,4,9.7,52.9,19.52,9.3,9,0,5,PC,PC,11.4964,0.006,,1,qlp-s39-tois,QLP,03:06:44.77,-82:18:58.93,14.9,2.9,4.7,2.8,2459388.787312,0.0011539,2.7684331,5.5e-06,4.223,0.117,3.517067,0.058942,3234.09711123576,54.28633,4.61938,,1330.16,,45.0,333.651,,5388.0,,,,0.98,,,,,,"1,12,13,27,28,39",2018-09-05,2022-10-17,2025-07-31 12:59:22,,0.05686912265224214,True,True,True
179317684,163.01,,3,5,5,3,4,4,4,49.3,55.8,317.0,99.7,4,0,3,CP,CP,10.8719,0.006,,1,spoc-s01-s69-b0A-CP,QLP,05:19:04.38,-71:53:43.9,7.14,0.067,16.374,0.078,2458544.670293,9.975855e-05,4.2311172621589,6.345285e-07,4.35316354320607,0.013488421,7.912593,0.021517,7261.27593605794,19.817411,14.6260711096069,0.68786657,1489.1126253479,1584.35185260097,371.85303,411.719,8.01,6671.0,130.6,4.14,0.09,1.66401994228363,0.0781055,,,1.41,0.244606,"9,10,11,12,13,27,28,29,30,31,32,33,34,35,36,37,38,39,61,62,63,64,65,66,68,69",2018-09-05,2024-02-14,2025-07-31 12:59:22,TOI-163 b,0.08521312068019772,True,True,True
147203645,166.01,,3,4,4,3,3,4,4,39.0,149.7,61.86,24.0,12,0,4,PC,PC,10.7258,0.006,,1,spoc-s01-s69-b0A-PC,QLP,21:32:47.06,-44:01:04.93,29.817,0.047,-58.517,0.051,2459065.316593,0.0005116646,5.06113147515493,3.9168817e-06,1.55624141946912,0.055441506,5.743547,0.285125,5276.03493015904,262.57532,9.14843017114491,1.1914712,239.141879460706,1002.96010679198,39.23764,172.157,0.9805,5254.0,152.9,4.45,0.36,1.00216996669769,0.0537965,,,0.94,0.118538,"1,28,68",2018-09-05,2024-05-01,2025-07-31 12:59:22,,0.07263631963528329,True,True,True
149990841,167.01,,3,4,3,5,3,4,4,25.0,94.3,59.25,22.4,5,1,7,PC,PC,11.6349,0.006,,1,qlp-s39-tois,QLP,06:02:39,-64:49:10.14,-3.606,2.124,14.96,2.074,2459387.893848,0.0003729,4.4531846,2.7e-06,1.687,0.13,6.435737,0.001116,5910.0,1.0276,,,184.842,1027.0,88.0,310.951,158.505,5766.0,158.9,,,,,,,,,"1,2,4,5,7,8,9,11,12,27,28,29,31,32,34,35,36,37",2018-09-05,2022-10-17,2025-07-31 12:59:22,no stellar radius; Gaia DR2 Teff + plx indicate sun-like star,0.07687652437513028,True,True,True
369457671,168.01,,1,4,4,1,3,3,4,10.3,68.3,11.46,6.8,16,5,5,PC,PC,11.5147,0.006,,1,qlp-s27-ffi,QLP,20:46:34.46,-37:54:15.83,14.801,0.076,-11.655,0.048,2458326.4928,0.00197,2.31446,1e-05,1.347,0.367,1.292795,0.004951,1190.0,4.56033,3.40668,0.294554,176.692,1015.0,10.0,130.977,0.8125,4801.5,126.2,,,0.73,0.05,,,0.74,0.0916005,"1,27",2018-09-05,2021-12-07,2025-07-31 12:59:22,,0.034496376621320685,True,True,True
183120439,169.01,,3,5,5,3,4,4,4,39.7,105.1,85.34,40.3,6,1,2,CP,CP,11.788,0.006,,1,spoc-s01-s36-b0A-CPKP,QLP,01:07:06.89,-75:11:56.2,20.225,0.05,-15.607,0.048,2459062.718052,0.0012657759,2.25544592236528,4.458845e-06,1.66786040481136,0.04603705,5.751925,0.15637,5283.71039006994,144.01193,11.0535292842194,0.5730389,1472.00952174388,1579.78288467845,34.75056,407.84,4.1945,5817.0,126.7,4.23,0.07,1.29660999774933,0.0621181,,,1.05,0.12634,"13,27,28",2018-09-05,2022-10-17,2025-07-31 12:59:22,TOI 169 b,0.07268913529592948,True,True,True
394698182,170.01,,3,5,5,3,3,4,4,46.4,121.1,126.76,49.1,8,8,1,PC,PC,11.9692,0.006,,1,qlp-s39-tois,QLP,03:39:57.5,-83:05:18.66,29.232,0.057,14.991,0.061,2459387.008657,0.0003683,3.7115129,2.2e-06,2.685,0.064,13.415381,0.001041,12280.0,0.958993,13.941,0.66669,399.006,1245.0,156.0,428.915,5.21,5973.0,131.5,4.31,0.08,1.22,0.06,,,1.1,0.144306,"12,13,27,28,39",2018-09-05,2022-10-17,2025-07-31 12:59:22,,0.11081516141756055,True,True,True
309257814,171.01,,3,5,5,3,3,4,4,106.5,203.5,100.78,65.3,22,2,3,PC,PC,11.6626,0.006,,1,spoc-s01-s65-b0A-PC,QLP,08:17:04.66,-63:12:48.25,-13.511,0.045,19.48,0.037,2458570.408133,0.00017813277,1.23860103460573,1.3787512e-06,1.9048913439245,0.03809019,13.291758,0.276437,12167.5309178432,254.57571,12.1897562489188,0.7835738,1709.45693314707,1639.96390902282,64.7628,256.345,1.463,5237.0,183.0,4.2427,0.42297,1.10722994804382,0.0651181,,,0.88,0.109325,"1,8,9,10,11,28,31,35,36,37,38,61,62,63,64",2019-06-11,2025-01-14,2025-07-31 12:59:22,,0.11030653161913487,True,True,True
29857954,172.01,,4,5,5,5,4,5,4,15.7,55.7,69.55,20.6,5,28,12,CP,CP,10.7379,0.006,,1,qlp-s28-tois,QLP,21:06:31.65,-26:41:34.32,-4.711,0.094,-54.25,0.069,2458326.92242,0.00173,9.47686,4e-05,4.392,0.243,3.240324,0.001167,2980.0,1.07525,9.80856,0.54867,161.969,993.0,14.0,342.831,7.221,5801.8,235.6,4.32,2.0,1.79,0.09,,,1.031,0.12794,"1,28",2018-09-05,2022-10-17,2025-07-31 12:59:22,TOI-172 b,0.054589376255824724,True,True,True
270341214,173.01,,3,4,4,3,3,4,4,25.7,158.3,97.94,16.1,22,29,3,PC,PC,8.8784,0.006,,1,spoc-s01-s69-b0A-PC,SPOC,02:13:50.12,-80:34:57.76,22.849,0.057,19.459,0.05,2458333.410136,0.00037007008,29.7537451413829,1.0696793e-05,8.07804450406273,0.031075664,6.917315,0.05193,6350.82994074537,47.828358,11.986897642935,0.5028346,86.5625630949938,777.951059113887,128.69139,152.023,0.6405,6409.0,197.0,4.20097,0.320295,1.46862995624542,0.0610553,,,1.41,0.233008,"1,13,27,28,39,66,67,68",2018-08-30,2024-03-11,2025-07-31 12:59:22,unrelated longer duration partial transit at end of s13; potential multi,0.07969209459378872,True,True,True
270341214,173.02,,1,4,1,1,3,4,4,2.8,35.8,7.44,1.8,22,29,3,PC,PC,8.8784,0.006,,2,spoc-s1-s69-b0A-PC,SPOC,02:13:50.12,-80:34:57.76,22.849,0.057,19.459,0.05,2458329.295582,0.0020004397,9.17022647673136,2.3407174e-05,5.68558419067641,0.71033275,0.332268,0.027282,305.983567693523,25.12709,2.63177542874414,1.4249274,415.79463068641,1151.70027032076,10.224759,152.023,0.6405,6409.0,197.0,4.20097,0.320295,1.46862995624542,0.0610553,,,1.41,0.233008,"1,13,27,28,39,66,68",2024-05-30,2024-06-05,2025-07-31 12:59:22,possible odd-even; variable host; potential multi; near 3:1 resonance with TOI 173.01 (P~30 days); low MES,0.017492385992011583,True,True,True
425997655,174.01,,1,5,5,1,4,4,4,2.0,60.0,4.18,1.2,17,20,3,CP,CP,8.7513,0.006,,1,qlp-s69-ffi,SPOC,03:41:50.17,-62:46:02.16,-102.571,0.05,-43.917,0.059,2460180.378105,0.0017731,17.6671687,2.92e-05,2.525,0.14,0.927615,0.037816,854.0,34.8289,1.87042,0.12665,7.60884,462.0,26.0,39.0341,0.04005,4813.0,111.0,4.38,0.21,0.69,0.04,-0.19,0.08,0.78,0.0888069,"1,2,3,4,11,29,30,31,34,64,68,69",2019-05-07,2023-11-15,2025-07-31 12:59:22,HD 23472 b / TOI 174.01,0.029223278392404916,True,True,True
425997655,174.02,,4,5,5,5,4,4,4,0.8,41.5,3.24,0.8,17,20,3,CP,CP,8.7513,0.006,,2,qlp-s68-ffi,SPOC,03:41:50.17,-62:46:02.16,-102.571,0.05,-43.917,0.059,2460157.951364,0.004136,29.7975205,8.87e-05,2.782,0.202,0.728774,0.036088,671.0,33.2375,1.60982,0.115321,3.2713,374.0,17.0,39.0341,0.04005,4813.0,111.0,4.38,0.21,0.69,0.04,-0.19,0.08,0.78,0.0888069,"1,2,3,4,11,29,30,31,34,64,68",2019-05-17,2023-11-15,2025-07-31 12:59:22,HD 23472 c; multi,0.02590366769397724,True,True,True
425997655,174.03,,2,5,5,2,4,4,4,1.1,6.1,1.65,0.5,17,20,3,CP,CP,8.7513,0.006,,3,qlp-s69-ffi,SPOC,03:41:50.17,-62:46:02.16,-102.571,0.05,-43.917,0.059,2460184.414244,0.0035407,12.1623316,4.41e-05,2.614,0.919,0.344233,0.02919,317.0,26.885,1.15643,0.097689,27.5458,638.0,14.0,39.0341,0.04005,4813.0,111.0,4.38,0.21,0.69,0.04,-0.19,0.08,0.78,0.0888069,"1,2,3,4,11,29,30,31,34,64,68,69",2019-05-17,2023-11-15,2025-07-31 12:59:22,HD 23472 f / TOI 174.03,0.017804493814764857,True,True,True
425997655,174.04,,2,5,5,2,4,4,4,1.3,11.4,0.36,0.2,17,20,3,CP,CP,8.7513,0.006,,4,qlp-s69-ffi,SPOC,03:41:50.17,-62:46:02.16,-102.571,0.05,-43.917,0.059,2460203.017928,0.0041223,3.9766833,1.42e-05,1.859,0.302,0.154185,0.013163,142.0,12.1233,0.757588,0.0655541,89.0886,855.0,9.0,39.0341,0.04005,4813.0,111.0,4.38,0.21,0.69,0.04,-0.19,0.08,0.78,0.0888069,"1,2,3,4,11,29,30,31,34,64,68,69",2019-05-17,2023-11-15,2025-07-31 12:59:22,HD 23472 d / TOI 174.04,0.011916375287812985,True,True,True
425997655,174.05,TIC 425997655.05,1,5,5,1,4,4,4,1.2,7.8,0.88,0.3,17,20,3,CP,CP,8.7513,0.006,,5,qlp-s69-ffi,SPOC,03:41:50.17,-62:46:02.16,-102.571,0.05,-43.917,0.059,2460197.038739,0.0041425,7.9076222,2.62e-05,2.611,0.411,0.23563,0.015555,217.0,14.3268,0.969819,0.073197,44.8107,720.0,13.0,39.0341,0.04005,4813.0,111.0,4.38,0.21,0.69,0.04,-0.19,0.08,0.78,0.0888069,"1,2,3,4,11,29,30,31,34,64,68,69",2021-10-21,2023-11-15,2025-07-31 12:59:22,HD 23472 e/ TOI 174.05,0.014730919862656235,True,True,True
307210830,175.01,,1,5,5,1,4,2,4,8.0,29.3,2.5,2.4,20,7,6,CP,CP,9.41242,0.007,,1,qlp-s87-ffi,QLP,08:18:07.89,-68:18:52.08,94.768,0.054,-340.47,0.052,2460688.70837,0.000380081725349,3.690675857802184,1.0080013588e-06,1.107,0.081,1.800557,0.04718,1657.0,43.4539,1.36751,0.0448017,8.77401,479.0,80.0,10.6194,0.0032,3469.0,68.0,4.9401,0.058929,0.31,0.01,,,0.292836,0.0201481,"2,5,8,9,10,11,12,28,29,32,35,36,37,38,39,61,62,63,64,65,69,87",2019-05-07,2025-07-09,2025-07-31 12:59:22,L 98-59 c; TOI 175.01,0.04070626487409524,True,True,True
307210830,175.02,,4,5,5,5,4,4,4,16.5,441.8,9.75,7.3,20,7,6,CP,CP,9.41242,0.007,,2,qlp-s63-ffi,SPOC,08:18:07.89,-68:18:52.08,94.768,0.054,-340.47,0.052,2460039.154503,0.0004444,7.4507305,3.2e-06,0.475,0.12,1.675497,4.72609,1542.0,4343.43,3.04528,0.856434,1.96064,329.0,40.0,10.6194,0.0032,3469.0,68.0,4.9401,0.058929,0.31,0.01,,,0.292836,0.0201481,"2,5,8,9,10,11,12,28,29,32,35,36,37,38,39,61,62,63",2019-05-07,2023-05-11,2025-07-31 12:59:22,L 98-59 d/TOI 175.02,0.039268307832143724,True,True,True
307210830,175.03,,4,5,5,5,4,4,4,4.8,37.2,0.49,0.5,20,7,6,CP,CP,9.41242,0.007,,3,spoc-s01-s69-b0A-CP,SPOC/QLP,08:18:07.89,-68:18:52.08,94.768,0.054,-340.47,0.052,2458354.907237,0.00023326691,2.253106161749305,1.9869076e-06,0.9939836545373176,0.12545682,0.741156,0.024349,682.3972723387841,22.426283,0.8266350041824014,0.38915795,24.478221291489,567.3025212913068,43.44456,10.6194,0.0032,3469.0,68.0,4.9401,0.058929,0.31415998935699463,0.00932381,,,0.292836,0.0201481,"2,5,8,9,10,11,12,28,29,32,35,36,37,38,39,61,62,63,64,65,69",2019-05-07,2025-07-09,2025-09-18 12:19:01,L 98-59 b / TOI 175.03,0.026122734779092025,True,True,True
262530407,177.01,,1,5,5,1,4,4,4,12.7,136.7,4.71,3.3,8,5,3,CP,CP,9.49275,0.007,,1,qlp-s69-ffi,SPOC/QLP,01:21:45.22,-46:42:53,-111.206,0.058,-79.827,0.068,2460204.963281,0.0008831,2.8531016,1.7e-06,1.142,0.173,1.515659,0.130923,1395.0,120.577,2.02068,0.114301,23.0419,610.0,28.0,22.4751,0.02605,3703.0,66.0,4.76229,0.061557,0.52,0.02,,,0.515356,0.0204259,"2,3,29,69",2018-12-20,2024-09-30,2025-07-31 12:59:22,GJ 3090 b,0.0373496987939662,True,True,True
