TIC ID,TOI,Previous CTOI,Master,SG1A,SG1B,SG2,SG3,SG4,SG5,ESM,TSM,Predicted Mass (M_Earth),Predicted RV Semi-amplitude (m/s),Time Series Observations,Spectroscopy Observations,Imaging Observations,TESS Disposition,TFOPWG Disposition,TESS Mag,TESS Mag err,Planet Name,Pipeline Signal ID,Source,Detection,RA,Dec,PM RA (mas/yr),PM RA err (mas/yr),PM Dec (mas/yr),PM Dec err (mas/yr),Epoch (BJD),Epoch (BJD) err,Period (days),Period (days) err,Duration (hours),Duration (hours) err,Depth (mmag),Depth (mmag) err,Depth (ppm),Depth (ppm) err,Planet Radius (R_Earth),Planet Radius (R_Earth) err,Planet Insolation (Earth Flux),Planet Equil Temp (K),Planet SNR,Stellar Distance (pc),Stellar Distance (pc) err,Stellar Eff Temp (K),Stellar Eff Temp (K) err,Stellar log(g) (cm/s^2),Stellar log(g) (cm/s^2) err,Stellar Radius (R_Sun),Stellar Radius (R_Sun) err,Stellar Metallicity,Stellar Metallicity err,Stellar Mass (M_Sun),Stellar Mass (M_Sun) err,Sectors,Date TOI Alerted (UTC),Date TOI Updated (UTC),Date Modified,Comments,Rp/R* (derived),needs_a_over_rstar,needs_inclination,needs_eccentricity
234523599,127.01,,5,5,5,5,4,5,5,34.9,146.7,76.0,53.9,3,0,0,CP,CP,14.1266,0.007,,1,spoc-s01-s36-b0A-CPKP,SPOC,01:02:12.45,-61:45:22.08,78.858,0.087,-27.095,0.064,2458325.650603,0.00024310609,3.79551778380905,2.2713773e-06,2.01981348473053,0.031575486,58.298733,0.608638,52278.9940978848,560.4189,10.3261619477101,0.33078393,18.0832335970318,525.943113131369,75.709694,140.225,0.86,3424.0,,4.438,,0.445371985435486,0.01356,,,0.44159,0.0205201,"1,2,28,29",2018-11-14,2021-12-09,2025-07-31 12:59:22,HATS-71 b,0.22864600170981517,True,True,True
391949880,128.01,,1,5,5,1,4,4,4,8.0,90.3,5.99,2.1,4,13,6,PC,CP,7.9849,0.006,,1,qlp-s68-ffi,SPOC/QLP,05:18:05.03,-80:57:51.78,-49.146,0.042,45.307,0.046,2460175.867159,0.0012993,4.9404714,7.1e-06,1.954,0.417,0.494122,0.018553,455.0,17.088,2.3216,0.116622,320.012,1178.0,43.0,68.4727,0.119,6086.0,193.0,4.26269,0.26143,1.13,0.05,,,1.13,0.151237,"1,8,11,12,13,27,28,31,38,39,61,62,65,66,67,68",2018-09-05,2023-11-16,2025-07-31 12:59:22,variable host; two stars in pixel,0.02133072900770154,True,True,True
201248411,129.01,,3,5,5,3,4,4,4,108.7,330.7,29.49,24.1,12,1,1,CP,CP,9.9005,0.006,,1,spoc-s01-s36-b0A-CPKP,SPOC,00:00:44.55,-54:49:50.96,-202.815,0.031,-71.518,0.029,2460205.646862,0.000584,0.980972,5e-07,0.54050355175474,0.026238935,6.728913,0.065402,6178.39242097547,60.235405,5.91629233324987,0.7808294,719.56290446087,1320.95170904155,167.35898,61.7856,0.0805,4486.0,175.0,4.49914,0.338797,0.764401018619537,0.0628191,,,0.7,0.0867846,"1,2,28,29,68,69",2018-10-22,2023-11-15,2025-07-31 12:59:22,TOI 129.01 / HIP 65 A b,0.0786027507214313,True,True,True
263003176,130.01,,3,5,5,5,4,3,4,4.3,73.4,5.9,1.4,2,9,5,CP,CP,7.4371,0.006,,1,spoc-s01-s69-b0A-CP,SPOC,00:50:11.23,-83:44:37.56,139.424,0.056,30.476,0.042,2458336.557651,0.0011119779,14.3392144225603,2.232218e-05,4.60647385532854,0.35378832,0.426381,0.013446,392.634687150864,12.384206,2.29632326005693,0.759807,118.753848841067,841.941027573274,32.31029,57.5846,0.0945,6295.7,56.481,4.438,,1.13742005825043,0.0451659,,,1.23,0.18151,"1,12,13,27,39,66",2018-09-05,2024-09-17,2025-07-31 12:59:22,HD 5278 b,0.019815011661638356,True,True,True
89020549,132.01,,2,5,5,2,4,4,4,11.2,70.8,12.91,6.9,12,2,8,CP,CP,10.8061,0.006,,1,spoc-s01-s69-b0A-CP,SPOC,22:33:35.92,-43:26:12.74,35.553,0.043,-53.055,0.054,2458326.904918,0.00072425185,2.1096804606002526,3.959725e-06,2.134404262210766,0.18656987,1.422953,0.05524,1309.729712583484,50.87656,3.639672521841595,0.5658798,644.2138135898209,1284.923457975856,23.500671,163.678,0.987,5673.0,188.0,4.55383,0.4189,0.940805971622467,0.0527538,,,0.91,0.113124,"1,28,68",2018-09-05,2025-06-04,2025-07-31 12:59:22,TOI-132 b / TOI-132.01,0.036190188070573545,True,True,True
219338557,133.01,,2,4,4,2,3,4,4,2.8,51.1,4.36,1.8,11,15,3,PC,PC,9.9762,0.006,,1,spoc-s01-s69-b0A-PC,SPOC,23:37:35.37,-58:57:18.28,196.638,0.043,-102.545,0.044,2458327.280273,0.00151152,8.19953684997134,1.6793305e-05,2.11682774509722,0.28085628,0.981264,0.067498,903.369443082931,62.166122,1.92262107527196,1.4381217,26.2353114061525,577.219913566422,14.419014,48.6326,0.06345,4028.0,170.0,4.55902,0.201108,0.650533020496368,0.0558995,,,0.67,0.0852257,"1,28,68",2018-09-05,2024-04-24,2025-07-31 12:59:22,,0.03005610492201095,True,True,True
234994474,134.01,,1,5,5,5,4,1,4,11.3,15.5,2.74,2.2,7,5,9,CP,CP,9.22978,0.007,,1,spoc-s01-s69-b0A-CP,SPOC/QLP,23:20:06.86,-60:03:56.63,-319.961,0.102,-127.781,0.115,2458326.034032,0.0005663934,1.40151826016575,4.8102324e-06,1.15830613665695,0.32550693,0.644852,0.04648,593.754092156108,42.808456,1.46168531327277,1.8385029,149.374754283149,891.638988536703,20.450527,25.1496,0.0239,3794.0,69.0,4.67812,0.063226,0.597006976604462,0.01815,,,0.58564,0.0205272,"1,28,68",2018-09-05,2024-09-30,2025-07-31 12:59:22,L 168-9 b,0.02436706983114933,True,True,True
267263253,135.01,,5,5,5,5,4,5,5,146.8,206.2,317.0,98.2,2,1,3,CP,CP,9.2205,0.006,,1,qlp-s68-ffi,SPOC,00:29:18.94,-76:18:14.52,-2.97,0.037,6.961,0.031,2460174.637067,0.000188,4.1269046,8e-07,4.405,0.016,11.823757,0.037289,10831.0,34.3442,17.0952,0.698036,1436.49,1715.0,389.0,196.852,0.774,6888.0,204.0,4.23416,0.355654,1.59,0.06,,,1.46,0.249445,"1,27,28,67,68",2018-09-05,2023-11-16,2025-07-31 12:59:22,HD 2685b,0.10407209039891531,True,True,True
410153553,136.01,,1,5,5,5,4,1,4,38.2,326.7,2.92,8.2,11,1,5,PC,CP,11.9238,0.008,,1,spoc,UNKNOWN,22:41:59.09,-69:10:19.59,334.357,0.083,-726.974,0.086,2459036.323679,0.00038085453,0.462884405273262,1.5224909e-05,0.558821920788134,0.08828183,4.885837,0.188836,4489.91192153051,173.90933,1.35432368024304,0.18157507,64.7181040420166,723.396154940473,25.038494,14.8846,0.0113,3043.0,63.0,5.09707,0.426694,0.188624,0.00571031,,,0.157909,0.0200668,"1,27",2018-09-05,2020-10-27,2025-07-31 12:59:22,Level 1 target. Potential short period small planet around an M dwarf.,0.06700680503896982,True,True,True
62483237,139.01,,1,4,1,5,4,3,1,3.9,69.2,6.07,2.2,9,9,7,CP,CP,9.3636,0.006,,1,spoc-s01-s69-b0A-PC,SPOC/QLP,22:25:36.58,-34:54:34.97,26.43,0.071,-30.255,0.08,2458334.891563,0.0013814847,11.0708575296637,2.77106e-05,2.19376165846134,0.31063417,1.249025,0.099718,1149.7328034023,91.839714,2.33376480352517,1.646811,22.4219066160939,554.993484245593,12.694616,42.4061,0.0763,4356.0,173.0,4.53491,0.3608,0.700726985931396,0.0575277,,,0.69,0.0852195,"1,28,68",2018-09-05,2024-09-09,2025-07-31 12:59:22,TOI-139 b,0.033907710087859075,True,True,True
