time_btjd,flux_normalized,flux_err
1764.7022094726562,1.0,6.17488834584424e-05
1764.7230224609375,1.0,6.175037662802525e-05
1764.7438354492188,1.0,6.175968081863601e-05
1764.7647094726562,1.0,6.175705642935001e-05
1764.7855224609375,1.0,6.177697657460314e-05
1764.8063354492188,1.0,6.177080863019895e-05
1764.8272094726562,1.0,6.177141935598431e-05
1764.8480224609375,1.0,6.177783696367275e-05
1764.8688354492188,1.0,6.176431456957009e-05
1764.8897094726562,1.0,6.177689942742453e-05
1764.9105224609375,1.0,6.175769401529598e-05
1764.9313354492188,1.0,6.176415358902109e-05
1764.9522094726562,1.0,6.175690714966476e-05
1764.9730224609375,1.0,6.17491298562726e-05
1764.9938354492188,1.0,6.176007505916199e-05
1765.0147094726562,1.0,6.175288739387942e-05
1765.0355224609375,1.0,6.17649081003361e-05
1765.0563354492188,1.0,6.176204985424986e-05
1765.0772094726562,1.0,6.17730908853839e-05
1765.0980224609375,1.0,6.176621216073247e-05
1765.1188354492188,1.0,6.176285213244917e-05
1765.1397094726562,1.0,6.175363855231255e-05
1765.1605224609375,1.0,6.175579586205247e-05
1765.1813354492188,1.0,6.175661378831735e-05
1765.2022094726562,1.0,6.176605187134971e-05
1765.2230224609375,1.0,6.174875908707916e-05
1765.2438354492188,1.0,6.175684413252202e-05
1765.2647094726562,1.0,6.175964829110763e-05
1765.2855224609375,1.0,6.178500480658382e-05
1765.3063354492188,1.0,6.176617278580733e-05
1765.3272094726562,1.0,6.176282137232073e-05
1765.3480224609375,1.0,6.178141562088093e-05
1765.3688354492188,1.0,6.17772277791132e-05
1765.3897094726562,1.0,6.176667235601749e-05
1765.4105224609375,1.0,6.182881282165741e-05
1765.4313354492188,1.0,6.178554159585323e-05
1765.4522094726562,1.0,6.180540843222269e-05
1765.4730224609375,1.0,6.179527673221017e-05
1765.4938354492188,1.0,6.179238220583216e-05
1765.5147094726562,1.0,6.181024071158411e-05
1765.5355224609375,1.0,6.182495305216965e-05
1765.5563354492188,1.0,6.184428405734133e-05
1765.5772094726562,1.0,6.183205912996075e-05
1765.5980224609375,1.0,6.181361651324394e-05
1765.6188354492188,1.0,6.181147056179409e-05
1765.6397094726562,1.0,6.18283881905677e-05
1765.6605224609375,1.0,6.184335232195682e-05
1765.6813354492188,1.0,6.179012220063759e-05
1765.7022094726562,1.0,6.179139358931361e-05
1765.7230224609375,1.0,6.181784276386631e-05
1765.7438354492188,1.0,6.182433879964483e-05
1765.7647094726562,1.0,6.182368924151328e-05
1765.7855224609375,1.0,6.180350636743924e-05
1765.8063354492188,1.0,6.181924034646258e-05
1765.8272094726562,1.0,6.183694494839511e-05
1765.8480224609375,1.0,6.182089477352823e-05
1765.8688354492188,1.0,6.181222626632901e-05
1765.8897094726562,1.0,6.184208786841992e-05
1765.9105224609375,1.0,6.183423703329031e-05
1765.9313354492188,1.0,6.18169955818416e-05
1765.9522094726562,1.0,6.181676906234262e-05
1765.9730224609375,1.0,6.184479920301158e-05
1765.9938354492188,1.0,6.182321821722872e-05
1766.0147094726562,1.0,6.183760608907503e-05
1766.0355224609375,1.0,6.183722633523449e-05
1766.0563354492188,1.0,6.182316911646086e-05
1766.0772094726562,1.0,6.182996965593575e-05
1766.0980224609375,1.0,6.178832803007462e-05
1766.1188354492188,1.0,6.179503976340611e-05
1766.1397094726562,1.0,6.17853508843308e-05
1766.1605224609375,1.0,6.178044657432717e-05
1766.1813354492188,1.0,6.17950484895269e-05
1766.2022094726562,1.0,6.179532593914132e-05
1766.2230224609375,1.0,6.178756072784395e-05
1766.2438354492188,1.0,6.179264708857753e-05
1766.2647094726562,1.0,6.180807431676744e-05
1766.2855224609375,1.0,6.17842357442246e-05
1766.3063354492188,1.0,6.180389395937997e-05
1766.3272094726562,1.0,6.183061410982648e-05
1766.3480224609375,1.0,6.186798157066711e-05
1766.3688354492188,1.0,6.186622885969166e-05
1766.3897094726562,1.0,6.1812992721268e-05
1766.4105224609375,1.0,6.177547057806077e-05
1766.4313354492188,1.0,6.176853598597717e-05
1766.4522094726562,1.0,6.178765015091806e-05
1766.4730224609375,1.0,6.180756279420539e-05
1766.4938354492188,1.0,6.177140766186396e-05
1766.5147094726562,1.0,6.176888638831349e-05
1766.5355224609375,1.0,6.177435941417721e-05
1766.5563354492188,1.0,6.177440696518977e-05
1766.5772094726562,1.0,6.176181391973502e-05
1766.5980224609375,1.0,6.176741373628966e-05
1766.6188354492188,1.0,6.177298583913165e-05
1766.6397094726562,1.0,6.177031010786289e-05
1766.6605224609375,1.0,6.177601809660704e-05
1766.6813354492188,1.0,6.1770864892709e-05
1766.7022094726562,1.0,6.175378188468696e-05
1766.7230224609375,1.0,6.176790442312307e-05
1766.7438354492188,1.0,6.177877467130026e-05
1766.7647094726562,1.0,6.17692005023324e-05
1766.7855224609375,1.0,6.176306748979512e-05
1766.8063354492188,1.0,6.177483550379887e-05
1766.8272094726562,1.0,6.177437981973166e-05
1766.8480224609375,1.0,6.176530431679044e-05
1766.8688354492188,1.0,6.176282188355337e-05
1766.8897094726562,1.0,6.176694764009586e-05
1766.9105224609375,1.0,6.177526165438194e-05
1766.9313354492188,1.0,6.176479002180443e-05
1766.9522094726562,1.0,6.176462340385179e-05
1766.9730224609375,1.0,6.175432332199803e-05
1766.9938354492188,1.0,6.176117775780894e-05
1767.0147094726562,1.0,6.175411922274915e-05
1767.0355224609375,1.0,6.17622711489206e-05
1767.0563354492188,1.0,6.17555443593383e-05
1767.0772094726562,1.0,6.17594480322788e-05
1767.0980224609375,1.0,6.176022344928234e-05
1767.1188354492188,1.0,6.176335473673285e-05
1767.1397094726562,1.0,6.176371673299716e-05
1767.1605224609375,1.0,6.177027765188437e-05
1767.1813354492188,1.0,6.175501576507386e-05
1767.2022094726562,1.0,6.177256014666874e-05
1767.2230224609375,1.0,6.176355232194736e-05
1767.2438354492188,1.0,6.176347468456008e-05
1767.2647094726562,1.0,6.177028227578382e-05
1767.2855224609375,1.0,6.17660202808447e-05
1767.3063354492188,1.0,6.177128808591096e-05
1767.3272094726562,1.0,6.17719308298269e-05
1767.3480224609375,1.0,6.178043194617491e-05
1767.3688354492188,1.0,6.178883460739731e-05
1767.3897094726562,1.0,6.178845229908383e-05
1767.4105224609375,1.0,6.178357590901078e-05
1767.4313354492188,1.0,6.178064608114797e-05
1767.4522094726562,1.0,6.178831823177769e-05
1767.4730224609375,1.0,6.179815124590363e-05
1767.4938354492188,1.0,6.178331361074943e-05
1767.5147094726562,1.0,6.177567887015865e-05
1767.5355224609375,1.0,6.17887132609136e-05
1767.5563354492188,1.0,6.1791715301181e-05
1767.5772094726562,1.0,6.179736853105667e-05
1767.5980224609375,1.0,6.178963870527077e-05
1767.6188354492188,1.0,6.180454791745454e-05
1767.6397094726562,1.0,6.181407069083192e-05
1767.6605224609375,1.0,6.178468968089287e-05
1767.6813354492188,1.0,6.18117542135011e-05
1767.7022094726562,1.0,6.179950290414301e-05
1767.7230224609375,1.0,6.180591830430354e-05
1767.7438354492188,1.0,6.180759505919957e-05
1767.7647094726562,1.0,6.179834830436002e-05
1767.7855224609375,1.0,6.180819299089434e-05
1767.8063354492188,1.0,6.179580798502737e-05
1767.8272094726562,1.0,6.17940967420763e-05
1767.8480224609375,1.0,6.18070812194238e-05
1767.8688354492188,1.0,6.180268152061795e-05
1767.8897094726562,1.0,6.179999694522296e-05
1767.9105224609375,1.0,6.180400686260516e-05
1767.9313354492188,1.0,6.181199351822304e-05
1767.9522094726562,1.0,6.181335230497655e-05
1767.9730224609375,1.0,6.181992314438536e-05
1767.9938354492188,1.0,6.182502556478411e-05
1768.0147094726562,1.0,6.182419222041211e-05
1768.0355224609375,1.0,6.185777522872666e-05
1768.0563354492188,1.0,6.181077407835658e-05
1768.0772094726562,1.0,6.1819864929216e-05
1768.0980224609375,1.0,6.178369184103445e-05
1768.1188354492188,1.0,6.18233105642985e-05
1768.1397094726562,1.0,6.179802387388993e-05
1768.1605224609375,1.0,6.183573162277672e-05
1768.1813354492188,1.0,6.181310171646949e-05
1768.2022094726562,1.0,6.182306774277684e-05
1768.2230224609375,1.0,6.180180187626576e-05
1768.2438354492188,1.0,6.18108314734931e-05
1768.2647094726562,1.0,6.180317910183086e-05
1768.2855224609375,1.0,6.181581786602883e-05
1768.3063354492188,1.0,6.180561674236654e-05
1768.3272094726562,1.0,6.181061107165289e-05
1768.3480224609375,1.0,6.180756840893307e-05
1768.3688354492188,1.0,6.17993926502852e-05
1768.3897094726562,1.0,6.182113692286807e-05
1768.4105224609375,1.0,6.181711172326151e-05
1768.4313354492188,1.0,6.180194104268865e-05
1768.4522094726562,1.0,6.179191564803732e-05
1768.4730224609375,1.0,6.181838395365631e-05
1768.4938354492188,1.0,6.180333586962633e-05
1768.5147094726562,1.0,6.179354533996433e-05
1768.5355224609375,1.0,6.178897918782141e-05
1768.5563354492188,1.0,6.180161627615978e-05
1768.5772094726562,1.0,6.181773959116326e-05
1768.6188354492188,1.0,6.18043598185784e-05
1768.6397094726562,1.0,6.18264643695825e-05
1768.6605224609375,1.0,6.180651173631384e-05
1768.6813354492188,1.0,6.181895632786214e-05
1768.7022094726562,1.0,6.18357437415204e-05
1768.7230224609375,1.0,6.184297513731423e-05
1768.7438354492188,1.0,6.181842827458287e-05
1768.7647094726562,1.0,6.184939518981818e-05
1768.7855224609375,1.0,6.182007437747452e-05
1768.8063354492188,1.0,6.180437978401899e-05
1768.8272094726562,1.0,6.180726596443566e-05
1768.8480224609375,1.0,6.187467233032994e-05
1768.8688354492188,1.0,6.184996123934078e-05
1768.8897094726562,1.0,6.181659237291315e-05
1768.9105224609375,1.0,6.182380726745904e-05
1768.9313354492188,1.0,6.183781570291451e-05
1768.9522094726562,1.0,6.186091832192182e-05
1768.9730224609375,1.0,6.182854835608502e-05
1768.9938354492188,1.0,6.180340137409419e-05
1769.0147094726562,1.0,6.183609349100161e-05
1769.0355224609375,1.0,6.181547306034685e-05
1769.0563354492188,1.0,6.180495146584736e-05
1769.0772094726562,1.0,6.181360136745842e-05
1769.0980224609375,1.0,6.1847480836569e-05
1769.1188354492188,1.0,6.1848068587094e-05
1769.1397094726562,1.0,6.182127636543216e-05
1769.1605224609375,1.0,6.180817695963628e-05
1769.1813354492188,1.0,6.18026496962949e-05
1769.2022094726562,1.0,6.179026467158123e-05
1769.2230224609375,1.0,6.181761207762115e-05
1769.2438354492188,1.0,6.180820006678996e-05
1769.2647094726562,1.0,6.183429445133977e-05
1769.2855224609375,1.0,6.182289792543941e-05
1769.3063354492188,1.0,6.184163522324498e-05
1769.3272094726562,1.0,6.182994547550207e-05
1769.3480224609375,1.0,6.182365363363796e-05
1769.3688354492188,1.0,6.182765924246196e-05
1769.3897094726562,1.0,6.184242548721879e-05
1769.4105224609375,1.0,6.184273393020251e-05
1769.4313354492188,1.0,6.178932275855544e-05
1769.4522094726562,1.0,6.17778643656626e-05
1769.4730224609375,1.0,6.180055301923789e-05
1769.4938354492188,1.0,6.179844596074727e-05
1769.5147094726562,1.0,6.178041384885197e-05
1769.5355224609375,1.0,6.180023052075865e-05
1769.5563354492188,1.0,6.178474293914998e-05
1769.5772094726562,1.0,6.17829460719376e-05
1769.5980224609375,1.0,6.1793099284885e-05
1769.6188354492188,1.0,6.179456729027675e-05
1769.6397094726562,1.0,6.18068613871085e-05
1769.6605224609375,1.0,6.178328527256783e-05
1769.6813354492188,1.0,6.180042340413704e-05
1769.7022094726562,1.0,6.181350029476937e-05
1769.7230224609375,1.0,6.181994565760447e-05
1769.7438354492188,1.0,6.178983690167562e-05
1769.7647094726562,1.0,6.178353344380162e-05
1769.7855224609375,1.0,6.177868194550293e-05
1769.8063354492188,1.0,6.180648719658212e-05
1769.8272094726562,1.0,6.179694528032278e-05
1769.8480224609375,1.0,6.180976154798834e-05
1769.8688354492188,1.0,6.177136943019697e-05
1769.8897094726562,1.0,6.176289438955409e-05
1769.9105224609375,1.0,6.177430688838883e-05
1769.9313354492188,1.0,6.177833609392845e-05
1769.9522094726562,1.0,6.17623943254531e-05
1769.9730224609375,1.0,6.177517732411149e-05
1769.9938354492188,1.0,6.177963926621416e-05
1770.0147094726562,1.0,6.178356016387141e-05
1770.0355224609375,1.0,6.17786766158636e-05
1770.0563354492188,1.0,6.176410084142186e-05
1770.0772094726562,1.0,6.179178412127443e-05
1770.0980224609375,1.0,6.17698649021048e-05
1770.1188354492188,1.0,6.178504464937071e-05
1770.1397094726562,1.0,6.177985086737525e-05
1770.1605224609375,1.0,6.176837027409307e-05
1770.1813354492188,1.0,6.17803897556661e-05
1770.2022094726562,1.0,6.17759832117459e-05
1770.2230224609375,1.0,6.175960102042168e-05
1770.2438354492188,1.0,6.176726937469114e-05
1770.2647094726562,1.0,6.179329815624413e-05
1770.2855224609375,1.0,6.176240718543744e-05
1770.3063354492188,1.0,6.176923648659333e-05
1770.3272094726562,1.0,6.175496200546761e-05
1770.3480224609375,1.0,6.175853301038202e-05
1770.3688354492188,1.0,6.174569249422333e-05
1770.3897094726562,1.0,6.176098676141184e-05
1770.4105224609375,1.0,6.175384373581516e-05
1770.4313354492188,1.0,6.175088368679024e-05
1770.4522094726562,1.0,6.175889285688722e-05
1770.4730224609375,1.0,6.175363288265025e-05
1770.4938354492188,1.0,6.175210002189311e-05
1770.5147094726562,1.0,6.176064290147104e-05
1770.5355224609375,1.0,6.176917779106294e-05
1770.5563354492188,1.0,6.175374517038277e-05
1770.5772094726562,1.0,6.175929079629639e-05
1770.5980224609375,1.0,6.174151801173652e-05
1770.6188354492188,1.0,6.176031119447694e-05
1770.6397094726562,1.0,6.175790433845022e-05
1770.6605224609375,1.0,6.175781420607225e-05
1770.6813354492188,1.0,6.176365102055956e-05
1770.7022094726562,1.0,6.175650770735791e-05
1770.7230224609375,1.0,6.17560447944716e-05
1770.7438354492188,1.0,6.174543106115803e-05
1770.7647094726562,1.0,6.173982161656333e-05
1770.7855224609375,1.0,6.174247700315976e-05
1770.8063354492188,1.0,6.174313795535316e-05
1770.8272094726562,1.0,6.176613962098625e-05
1770.8480224609375,1.0,6.174148658099918e-05
1770.8688354492188,1.0,6.175136214991032e-05
1770.8897094726562,1.0,6.175503857497463e-05
1770.9105224609375,1.0,6.174993336583851e-05
1770.9313354492188,1.0,6.174550866901107e-05
1770.9522094726562,1.0,6.174183343570163e-05
