time_btjd,flux_normalized,flux_err
1683.3683471679688,1.0,6.783816383805389e-05
1683.3892211914062,1.0,6.783975568929257e-05
1683.4100341796875,1.0,6.783298824937197e-05
1683.4308471679688,1.0,6.782819722335973e-05
1683.4517211914062,1.0,6.783735108040865e-05
1683.4725341796875,1.0,6.783629956080016e-05
1683.4933471679688,1.0,6.783498019692143e-05
1683.5142211914062,1.0,6.784735767805131e-05
1683.5350341796875,1.0,6.784822174683616e-05
1683.5558471679688,1.0,6.785527793263821e-05
1683.5767211914062,1.0,6.787496145939549e-05
1683.5975341796875,1.0,6.786156065665132e-05
1683.6183471679688,1.0,6.786342509160873e-05
1683.6392211914062,1.0,6.787919827361175e-05
1683.6600341796875,1.0,6.787046538433319e-05
1683.6808471679688,1.0,6.785827113031353e-05
1683.7017211914062,1.0,6.785760580749659e-05
1683.7225341796875,1.0,6.78596862314998e-05
1683.7433471679688,1.0,6.785335052145876e-05
1683.7642211914062,1.0,6.785931854937457e-05
1683.7850341796875,1.0,6.785110160495036e-05
1683.8058471679688,1.0,6.783467639299779e-05
1683.8267211914062,1.0,6.78415777795811e-05
1683.8475341796875,1.0,6.784475734141294e-05
1683.8683471679688,1.0,6.785150085720686e-05
1683.8892211914062,1.0,6.787482199833819e-05
1683.9100341796875,1.0,6.786512305984937e-05
1683.9308471679688,1.0,6.78461988438335e-05
1683.9517211914062,1.0,6.785498420162411e-05
1683.9725341796875,1.0,6.784029949111286e-05
1683.9933471679688,1.0,6.789553072012868e-05
1684.0142211914062,1.0,6.791449258616606e-05
1684.0350341796875,1.0,6.792919745330698e-05
1684.0558471679688,1.0,6.792963210847508e-05
1684.0767211914062,1.0,6.793759184690163e-05
1684.0975341796875,1.0,6.795710690910149e-05
1684.1183471679688,1.0,6.795687496635617e-05
1684.1392211914062,1.0,6.792777604520264e-05
1684.1600341796875,1.0,6.79264658967473e-05
1684.1808471679688,1.0,6.791877702079923e-05
1684.2017211914062,1.0,6.786647083428849e-05
1684.2225341796875,1.0,6.783833151099164e-05
1684.2433471679688,1.0,6.783594581856707e-05
1684.2642211914062,1.0,6.783230995629252e-05
1684.2850341796875,1.0,6.783464958505708e-05
1684.3058471679688,1.0,6.782304533191788e-05
1684.3267211914062,1.0,6.781569972508336e-05
1684.3475341796875,1.0,6.780485445416053e-05
1684.3683471679688,1.0,6.780496545437795e-05
1684.3892211914062,1.0,6.780139052155929e-05
1684.4100341796875,1.0,6.779802645171411e-05
1684.4308471679688,1.0,6.781508775780786e-05
1684.4517211914062,1.0,6.781444576059487e-05
1684.4725341796875,1.0,6.779195473357322e-05
1684.4933471679688,1.0,6.778986570411062e-05
1684.5142211914062,1.0,6.778071349532232e-05
1684.5350341796875,1.0,6.778102709212511e-05
1684.5558471679688,1.0,6.77699770608191e-05
1684.5767211914062,1.0,6.777048864240925e-05
1684.5975341796875,1.0,6.778457874424976e-05
1684.6183471679688,1.0,6.778997554942519e-05
1684.6392211914062,1.0,6.776806273870871e-05
1684.6600341796875,1.0,6.776034432154769e-05
1684.6808471679688,1.0,6.775351373681544e-05
1684.7017211914062,1.0,6.775543993165807e-05
1684.7225341796875,1.0,6.774722732403006e-05
1684.7433471679688,1.0,6.774649565062662e-05
1684.7642211914062,1.0,6.776034278286694e-05
1684.7850341796875,1.0,6.775088695042906e-05
1684.8058471679688,1.0,6.774389420211156e-05
1684.8267211914062,1.0,6.775051157484257e-05
1684.8475341796875,1.0,6.774281803145692e-05
1684.8683471679688,1.0,6.774927434861997e-05
1684.8892211914062,1.0,6.775395612239882e-05
1684.9100341796875,1.0,6.776276917981094e-05
1684.9308471679688,1.0,6.774494012846657e-05
1684.9517211914062,1.0,6.773774470773148e-05
1684.9725341796875,1.0,6.773897468393876e-05
1684.9933471679688,1.0,6.774433356545136e-05
1685.0142211914062,1.0,6.774899433090249e-05
1685.0350341796875,1.0,6.774953101964215e-05
1685.0558471679688,1.0,6.775761174201168e-05
1685.0767211914062,1.0,6.774248815506994e-05
1685.0975341796875,1.0,6.774357444981551e-05
1685.1183471679688,1.0,6.773996837912551e-05
1685.1392211914062,1.0,6.773385595773146e-05
1685.1600341796875,1.0,6.773725895321664e-05
1685.1808471679688,1.0,6.773120019656249e-05
1685.2017211914062,1.0,6.773771218792561e-05
1685.2225341796875,1.0,6.773226112258155e-05
1685.2433471679688,1.0,6.774062493563998e-05
1685.2642211914062,1.0,6.773868042262851e-05
1685.2850341796875,1.0,6.773970301501652e-05
1685.3058471679688,1.0,6.773590989848013e-05
1685.3267211914062,1.0,6.773220546627836e-05
1685.3475341796875,1.0,6.773611534299332e-05
1685.3683471679688,1.0,6.773034790773885e-05
1685.3892211914062,1.0,6.775079655760195e-05
1685.4100341796875,1.0,6.775086913461995e-05
1685.4308471679688,1.0,6.772381408864578e-05
1685.4517211914062,1.0,6.774514691044889e-05
1685.4725341796875,1.0,6.772319222015993e-05
1685.4933471679688,1.0,6.773796591100986e-05
1685.5142211914062,1.0,6.772401145891782e-05
1685.5350341796875,1.0,6.773476664795963e-05
1685.5558471679688,1.0,6.771986155639038e-05
1685.5767211914062,1.0,6.772157419199656e-05
1685.5975341796875,1.0,6.771515944822277e-05
1685.6183471679688,1.0,6.770753030560923e-05
1685.6392211914062,1.0,6.770124715369944e-05
1685.6600341796875,1.0,6.770795448969958e-05
1685.6808471679688,1.0,6.770449687099453e-05
1685.7017211914062,1.0,6.769825326897544e-05
1685.7225341796875,1.0,6.771958797179103e-05
1685.7433471679688,1.0,6.77178928238402e-05
1685.7642211914062,1.0,6.770229663648691e-05
1685.7850341796875,1.0,6.769920814154604e-05
1685.8058471679688,1.0,6.769601873822779e-05
1685.8267211914062,1.0,6.769834174748967e-05
1685.8475341796875,1.0,6.770897259576834e-05
1685.8683471679688,1.0,6.770560430459851e-05
1685.8892211914062,1.0,6.769127730096901e-05
1685.9100341796875,1.0,6.770838758008184e-05
1685.9308471679688,1.0,6.769660244098014e-05
1685.9517211914062,1.0,6.771065624754033e-05
1685.9725341796875,1.0,6.771111600219616e-05
1685.9933471679688,1.0,6.770990016796229e-05
1686.0142211914062,1.0,6.772294744159672e-05
1686.0350341796875,1.0,6.771026347105425e-05
1686.0558471679688,1.0,6.771221588807806e-05
1686.0767211914062,1.0,6.772393294908153e-05
